t_ns,lat,lon,speed,bearing,cn0_mean,sv_used,navic_sv,masked
0,17.440003283156724,78.35,18.253518550876553,0.0,40,9,3,0
1000000000,17.440167440992894,78.35,18.253518550876553,0.0,40,9,3,0
2000000000,17.44033159882906,78.35,18.253518550876553,0.0,40,9,3,0
3000000000,17.44049575666523,78.35,18.253518550876553,0.0,40,9,3,0
4000000000,17.4406599145014,78.35,18.253518550876553,0.0,40,9,3,0
5000000000,17.440824072337566,78.35,18.253518550876553,0.0,40,9,3,0
6000000000,17.440988230173737,78.35,18.253518550876553,0.0,40,9,3,0
7000000000,17.441152388009904,78.35,18.253518550876553,0.0,40,9,3,0
8000000000,17.44131654584607,78.35,18.253518550876553,0.0,40,9,3,0
9000000000,17.44148070368224,78.35,18.253518550876553,0.0,40,9,3,0
10000000000,17.44164486151841,78.35,18.253518550876553,0.0,40,9,3,0
11000000000,17.441809019354576,78.35,18.253518550876553,0.0,40,9,3,0
12000000000,17.441973177190746,78.35,18.253518550876553,0.0,40,9,3,0
13000000000,17.442137335026914,78.35,18.253518550876553,0.0,40,9,3,0
14000000000,17.442301492863084,78.35,18.253518550876553,0.0,40,9,3,0
15000000000,17.44246565069925,78.35,18.253518550876553,0.0,40,9,3,0
16000000000,17.44262980853542,78.35,18.253518550876553,0.0,40,9,3,0
17000000000,17.44279396637159,78.35,18.253518550876553,0.0,40,9,3,0
18000000000,17.442958124207756,78.35,18.253518550876553,0.0,40,9,3,0
19000000000,17.443122282043923,78.35,18.253518550876553,0.0,40,9,3,0
20000000000,17.443286439880094,78.35,18.253518550876553,0.0,40,9,3,0
21000000000,17.44345059771626,78.35,18.253518550876553,0.0,40,9,3,0
22000000000,17.44361475555243,78.35,18.253518550876553,0.0,40,9,3,0
23000000000,17.4437789133886,78.35,18.253518550876553,0.0,40,9,3,0
24000000000,17.443943071224766,78.35,18.253518550876553,0.0,40,9,3,0
25000000000,17.444107229060936,78.35,18.253518550876553,0.0,40,9,3,0
26000000000,17.444271386897103,78.35,18.253518550876553,0.0,40,9,3,0
27000000000,17.44443554473327,78.35,18.253518550876553,0.0,40,9,3,0
28000000000,17.44459970256944,78.35,18.253518550876553,0.0,40,9,3,0
29000000000,17.444763860405608,78.35,18.253518550876553,0.0,40,9,3,0
30000000000,17.44492801824178,78.35,18.253518550876553,0.0,40,9,3,0
31000000000,17.445092176077946,78.35,18.253518550876553,0.0,40,9,3,0
